LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1701221177.858433,2335111.000,55972,2,EA,1,100,0.030646
1701221177.858433,2335111.000,55972,2,EA,1,100,0.030668
1701221177.924419,2335177.000,55991,1,EA,1,100,0.030636
1701221177.991406,2335244.000,56005,2,EA,1,100,0.030628
1701221178.058393,2335311.000,56005,2,EA,1,100,0.030635
1701221178.124380,2335377.000,56022,1,EA,1,100,0.030640
1701221178.191366,2335444.000,56039,2,EA,1,100,0.030624
1701221178.258353,2335511.000,56039,2,EA,1,100,0.030631
1701221178.324340,2335577.000,56056,1,EA,1,100,0.030635
1701221178.391326,2335644.000,56071,2,EA,1,100,0.030649
1701221178.458313,2335711.000,56071,2,EA,1,100,0.030642
1701221178.524800,2335777.500,56088,2,EA,1,100,0.030648
1701221178.591286,2335844.000,56088,2,EA,1,100,0.030634
1701221178.658273,2335911.000,56104,1,EA,1,100,0.030636
1701221178.724760,2335977.500,56121,2,EA,1,100,0.030655
1701221178.791246,2336044.000,56121,2,EA,1,100,0.030621
1701221178.858233,2336111.000,56138,1,EA,1,100,0.030633
1701221178.924720,2336177.500,56153,2,EA,1,100,0.030633
1701221178.991206,2336244.000,56153,2,EA,1,100,0.030629
1701221179.058193,2336311.000,56169,1,EA,1,100,0.030635
1701221179.124680,2336377.500,56187,2,EA,1,100,0.030630
1701221179.191166,2336444.000,56187,2,EA,1,100,0.030637
1701221179.258153,2336511.000,56203,1,EA,1,100,0.030638
1701221179.324640,2336577.500,56218,2,EA,1,100,0.030634
1701221179.391126,2336644.000,56218,2,EA,1,100,0.030639
1701221179.458113,2336711.000,56234,1,EA,1,100,0.030637
1701221179.524600,2336777.500,56252,2,EA,1,100,0.030633
1701221179.591087,2336844.000,56252,2,EA,1,100,0.030639
1701221179.658073,2336911.000,56268,1,EA,1,100,0.030639
1701221179.724560,2336977.500,56283,2,EA,1,100,0.030634
1701221179.791047,2337044.000,56283,2,EA,1,100,0.030641
1701221179.857533,2337110.500,56303,2,EA,1,100,0.030642
1701221179.924020,2337177.000,56303,2,EA,1,100,0.030637
1701221179.991007,2337244.000,56320,1,EA,1,100,0.030634
1701221180.057493,2337310.500,56336,2,EA,1,100,0.030654
1701221180.123980,2337377.000,56336,2,EA,1,100,0.030650
1701221180.190967,2337444.000,56354,1,EA,1,100,0.030639
1701221180.257453,2337510.500,56369,2,EA,1,100,0.030656
1701221180.323940,2337577.000,56369,2,EA,1,100,0.030643
1701221180.390927,2337644.000,56385,1,EA,1,100,0.030642
1701221180.457413,2337710.500,56402,2,EA,1,100,0.030642
1701221180.523900,2337777.000,56402,2,EA,1,100,0.030643
1701221180.590387,2337843.500,56419,2,EA,1,100,0.030650
1701221180.656874,2337910.000,56419,2,EA,1,100,0.030645
1701221180.723860,2337977.000,56435,1,EA,1,100,0.030649
1701221180.790347,2338043.500,56451,2,EA,1,100,0.030658
1701221180.856834,2338110.000,56451,2,EA,1,100,0.030644
1701221180.923820,2338177.000,56467,1,EA,1,100,0.030653
1701221180.990307,2338243.500,56484,2,EA,1,100,0.030647
1701221181.056794,2338310.000,56484,2,EA,1,100,0.030646
1701221181.123780,2338377.000,56500,1,EA,1,100,0.030650
1701221181.190267,2338443.500,56516,2,EA,1,100,0.030646
1701221181.256754,2338510.000,56516,2,EA,1,100,0.030658
1701221181.323740,2338577.000,56532,1,EA,1,100,0.030665
1701221181.390227,2338643.500,56553,2,EA,1,100,0.030656
1701221181.456714,2338710.000,56553,2,EA,1,100,0.030653
1701221181.523700,2338777.000,56570,1,EA,1,100,0.030655
1701221181.590187,2338843.500,56585,2,EA,1,100,0.030667
1701221181.656674,2338910.000,56585,2,EA,1,100,0.030665
1701221181.723660,2338977.000,56601,1,EA,1,100,0.030664
1701221181.790147,2339043.500,56619,2,EA,1,100,0.030651
1701221181.856634,2339110.000,56619,2,EA,1,100,0.030653
1701221181.923621,2339177.000,56635,1,EA,1,100,0.030660
1701221181.990107,2339243.500,56652,2,EA,1,100,0.030657
1701221182.056594,2339310.000,56652,2,EA,1,100,0.030655
1701221182.123581,2339377.000,56668,1,EA,1,100,0.030658
1701221182.190067,2339443.500,56686,2,EA,1,100,0.030640
1701221182.256554,2339510.000,56686,2,EA,1,100,0.030651
1701221182.323541,2339577.000,56702,1,EA,1,100,0.030649
1701221182.390028,2339643.500,56718,2,EA,1,100,0.030654
1701221182.456514,2339710.000,56718,2,EA,1,100,0.030660
1701221182.523501,2339777.000,56734,1,EA,1,100,0.030651
1701221182.589988,2339843.500,56751,2,EA,1,100,0.030651
1701221182.656474,2339910.000,56751,2,EA,1,100,0.030661
1701221182.722961,2339976.500,56767,2,EA,1,100,0.030656
1701221182.789448,2340043.000,56767,2,EA,1,100,0.030654
1701221182.856434,2340110.000,56785,1,EA,1,100,0.030662
1701221182.922921,2340176.500,56801,2,EA,1,100,0.030657
1701221182.989408,2340243.000,56801,2,EA,1,100,0.030665
1701221183.056394,2340310.000,56818,1,EA,1,100,0.030666
1701221183.122881,2340376.500,56837,2,EA,1,100,0.030657
1701221183.189368,2340443.000,56837,2,EA,1,100,0.030656
1701221183.256354,2340510.000,56854,1,EA,1,100,0.030666
1701221183.322841,2340576.500,56868,2,EA,1,100,0.030665
1701221183.389328,2340643.000,56868,2,EA,1,100,0.030670
1701221183.456314,2340710.000,56885,1,EA,1,100,0.030669
1701221183.522801,2340776.500,56904,2,EA,1,100,0.030660
1701221183.589288,2340843.000,56904,2,EA,1,100,0.030665
1701221183.656275,2340910.000,56921,1,EA,1,100,0.030661
1701221183.722761,2340976.500,56935,2,EA,1,100,0.030666
1701221183.789248,2341043.000,56935,2,EA,1,100,0.030661
1701221183.856235,2341110.000,56953,1,EA,1,100,0.030659
1701221183.922721,2341176.500,56969,2,EA,1,100,0.030658
1701221183.989208,2341243.000,56969,2,EA,1,100,0.030663
1701221184.056195,2341310.000,56986,1,EA,1,100,0.030666
1701221184.122681,2341376.500,57001,2,EA,1,100,0.030670
1701221184.189168,2341443.000,57001,2,EA,1,100,0.030674
1701221184.256155,2341510.000,57018,1,EA,1,100,0.030663
1701221184.322641,2341576.500,57034,2,EA,1,100,0.030662
1701221184.389128,2341643.000,57034,2,EA,1,100,0.030668
1701221184.456115,2341710.000,57051,1,EA,1,100,0.030663
1701221184.522601,2341776.500,57067,2,EA,1,100,0.030665
1701221184.589088,2341843.000,57067,2,EA,1,100,0.030666
1701221184.656075,2341910.000,57083,1,EA,1,100,0.030662
1701221184.722561,2341976.500,57099,2,EA,1,100,0.030669
1701221184.789048,2342043.000,57099,2,EA,1,100,0.030668
1701221184.856035,2342110.000,57117,2,EA,1,100,0.030671
1701221184.923021,2342177.000,57117,2,EA,1,100,0.030667
1701221184.989508,2342243.500,57141,2,EA,1,100,0.030670
1701221185.055995,2342310.000,57141,2,EA,1,100,0.030663
1701221185.122982,2342377.000,57157,1,EA,1,100,0.030673
1701221185.189468,2342443.500,57173,2,EA,1,100,0.030673
1701221185.255955,2342510.000,57173,2,EA,1,100,0.030677
1701221185.322942,2342577.000,57189,1,EA,1,100,0.030684
1701221185.389428,2342643.500,57206,2,EA,1,100,0.030682
1701221185.455915,2342710.000,57206,2,EA,1,100,0.030687
1701221185.522902,2342777.000,57225,1,EA,1,100,0.030681
1701221185.589388,2342843.500,57241,2,EA,1,100,0.030680
1701221185.655875,2342910.000,57241,2,EA,1,100,0.030672
1701221185.722862,2342977.000,57256,1,EA,1,100,0.030673
1701221185.789348,2343043.500,57276,2,EA,1,100,0.030680
1701221185.855835,2343110.000,57276,2,EA,1,100,0.030686
1701221185.922822,2343177.000,57292,1,EA,1,100,0.030697
1701221185.989308,2343243.500,57310,2,EA,1,100,0.030697
1701221186.055795,2343310.000,57310,2,EA,1,100,0.030683
1701221186.122282,2343376.500,57328,2,EA,1,100,0.030666
1701221186.188769,2343443.000,57328,2,EA,1,100,0.030685
1701221186.255755,2343510.000,57345,1,EA,1,100,0.030680
1701221186.322242,2343576.500,57361,2,EA,1,100,0.030672
1701221186.388729,2343643.000,57361,2,EA,1,100,0.030683
1701221186.455715,2343710.000,57378,1,EA,1,100,0.030681
1701221186.522202,2343776.500,57393,2,EA,1,100,0.030680
1701221186.588689,2343843.000,57393,2,EA,1,100,0.030685
1701221186.655675,2343910.000,57410,1,EA,1,100,0.030677
1701221186.722162,2343976.500,57426,2,EA,1,100,0.030681
1701221186.788649,2344043.000,57426,2,EA,1,100,0.030686
1701221186.855635,2344110.000,57444,1,EA,1,100,0.030682
1701221186.922122,2344176.500,57458,2,EA,1,100,0.030677
1701221186.988609,2344243.000,57458,2,EA,1,100,0.030689
1701221187.055595,2344310.000,57475,1,EA,1,100,0.030677
1701221187.122082,2344376.500,57492,2,EA,1,100,0.030683
1701221187.188569,2344443.000,57492,2,EA,1,100,0.030687
1701221187.255555,2344510.000,57509,1,EA,1,100,0.030678
1701221187.322042,2344576.500,57523,2,EA,1,100,0.030683
1701221187.388529,2344643.000,57523,2,EA,1,100,0.030691
1701221187.455516,2344710.000,57542,1,EA,1,100,0.030683
1701221187.522002,2344776.500,57559,2,EA,1,100,0.030682
1701221187.588489,2344843.000,57559,2,EA,1,100,0.030683
1701221187.655476,2344910.000,57576,1,EA,1,100,0.030685
1701221187.721962,2344976.500,57591,2,EA,1,100,0.030696
1701221187.788449,2345043.000,57591,2,EA,1,100,0.030688
1701221187.855436,2345110.000,57608,1,EA,1,100,0.030688
1701221187.921922,2345176.500,57626,2,EA,1,100,0.030684
1701221187.988409,2345243.000,57626,2,EA,1,100,0.030695
1701221188.054896,2345309.500,57643,2,EA,1,100,0.030686
1701221188.121382,2345376.000,57643,2,EA,1,100,0.030682
1701221188.188369,2345443.000,57660,1,EA,1,100,0.030685
1701221188.254856,2345509.500,57675,2,EA,1,100,0.030690
1701221188.321342,2345576.000,57675,2,EA,1,100,0.030683
1701221188.388329,2345643.000,57691,1,EA,1,100,0.030684
1701221188.454816,2345709.500,57709,2,EA,1,100,0.030679
1701221188.521303,2345776.000,57709,2,EA,1,100,0.030689
1701221188.588289,2345843.000,57727,1,EA,1,100,0.030685
1701221188.654776,2345909.500,57742,2,EA,1,100,0.030682
1701221188.721263,2345976.000,57742,2,EA,1,100,0.030691
1701221188.788249,2346043.000,57758,1,EA,1,100,0.030690
1701221188.854736,2346109.500,57776,2,EA,1,100,0.030686
1701221188.921223,2346176.000,57776,2,EA,1,100,0.030697
1701221188.988209,2346243.000,57792,1,EA,1,100,0.030687
1701221189.054696,2346309.500,57807,2,EA,1,100,0.030684
1701221189.121183,2346376.000,57807,2,EA,1,100,0.030695
1701221189.188169,2346443.000,57824,1,EA,1,100,0.030693
1701221189.254656,2346509.500,57841,2,EA,1,100,0.030687
1701221189.321143,2346576.000,57841,2,EA,1,100,0.030698
1701221189.388129,2346643.000,57857,1,EA,1,100,0.030701
1701221189.454616,2346709.500,57875,2,EA,1,100,0.030693
1701221189.521103,2346776.000,57875,2,EA,1,100,0.030697
1701221189.588089,2346843.000,57891,1,EA,1,100,0.030693
1701221189.654576,2346909.500,57908,2,EA,1,100,0.030693
1701221189.721063,2346976.000,57908,2,EA,1,100,0.030700
1701221189.788049,2347043.000,57924,1,EA,1,100,0.030696
1701221189.854536,2347109.500,57941,2,EA,1,100,0.030696
1701221189.921023,2347176.000,57941,2,EA,1,100,0.030700
1701221189.988010,2347243.000,57956,1,EA,1,100,0.030712
1701221190.054663,2347309.667,57979,3,EA,1,100,0.030708
1701221190.121316,2347376.333,57979,3,EA,1,100,0.030708
1701221190.187970,2347443.000,57979,3,EA,1,100,0.030706
1701221190.253957,2347509.000,57995,1,EA,1,100,0.030720
1701221190.320943,2347576.000,58012,2,EA,1,100,0.030712
1701221190.387930,2347643.000,58012,2,EA,1,100,0.030758
1701221190.453917,2347709.000,58028,1,EA,1,100,0.030728
1701221190.520903,2347776.000,58044,2,EA,1,100,0.030716
1701221190.587890,2347843.000,58044,2,EA,1,100,0.030750
1701221190.653877,2347909.000,58060,1,EA,1,100,0.030748
1701221190.720863,2347976.000,58079,2,EA,1,100,0.030716
1701221190.787850,2348043.000,58079,2,EA,1,100,0.030710
1701221190.853837,2348109.000,58096,1,EA,1,100,0.030707
1701221190.920823,2348176.000,58111,2,EA,1,100,0.030707
1701221190.987810,2348243.000,58111,2,EA,1,100,0.030709
1701221191.053797,2348309.000,58127,1,EA,1,100,0.030705
1701221191.120783,2348376.000,58145,2,EA,1,100,0.030723
1701221191.187770,2348443.000,58145,2,EA,1,100,0.030694
1701221191.253757,2348509.000,58161,1,EA,1,100,0.030695
1701221191.320743,2348576.000,58176,2,EA,1,100,0.030711
1701221191.387730,2348643.000,58176,2,EA,1,100,0.030695
1701221191.453717,2348709.000,58192,1,EA,1,100,0.030691
1701221191.520704,2348776.000,58210,2,EA,1,100,0.030700
1701221191.587690,2348843.000,58210,2,EA,1,100,0.030703
1701221191.653677,2348909.000,58226,1,EA,1,100,0.030704
1701221191.720664,2348976.000,58241,2,EA,1,100,0.030698
1701221191.787650,2349043.000,58241,2,EA,1,100,0.030708
1701221191.853637,2349109.000,58258,1,EA,1,100,0.030704
1701221191.920624,2349176.000,58275,2,EA,1,100,0.030708
1701221191.987610,2349243.000,58275,2,EA,1,100,0.030708
1701221192.054097,2349309.500,58291,2,EA,1,100,0.030709
1701221192.120584,2349376.000,58291,2,EA,1,100,0.030744
1701221192.187570,2349443.000,58309,1,EA,1,100,0.030770
1701221192.254057,2349509.500,58326,2,EA,1,100,0.030701
1701221192.320544,2349576.000,58326,2,EA,1,100,0.030707
1701221192.387030,2349642.500,58344,2,EA,1,100,0.030728
1701221192.453517,2349709.000,58344,2,EA,1,100,0.030688
1701221192.520504,2349776.000,58361,1,EA,1,100,0.030705
1701221192.586990,2349842.500,58378,2,EA,1,100,0.030698
1701221192.653477,2349909.000,58378,2,EA,1,100,0.030712
1701221192.720464,2349976.000,58394,1,EA,1,100,0.030705
1701221192.786951,2350042.500,58410,2,EA,1,100,0.030704
1701221192.853437,2350109.000,58410,2,EA,1,100,0.030708
1701221192.920424,2350176.000,58428,1,EA,1,100,0.030712
1701221192.986911,2350242.500,58445,2,EA,1,100,0.030707
1701221193.053397,2350309.000,58445,2,EA,1,100,0.030722
1701221193.120384,2350376.000,58461,1,EA,1,100,0.030709
1701221193.186871,2350442.500,58477,2,EA,1,100,0.030706
1701221193.253357,2350509.000,58477,2,EA,1,100,0.030729
1701221193.320344,2350576.000,58493,1,EA,1,100,0.030707
1701221193.386831,2350642.500,58510,2,EA,1,100,0.030716
1701221193.453317,2350709.000,58510,2,EA,1,100,0.030719
1701221193.520304,2350776.000,58527,1,EA,1,100,0.030716
1701221193.586791,2350842.500,58542,2,EA,1,100,0.030710
1701221193.653277,2350909.000,58542,2,EA,1,100,0.030723
1701221193.720264,2350976.000,58558,1,EA,1,100,0.030712
1701221193.786751,2351042.500,58576,2,EA,1,100,0.030717
1701221193.853237,2351109.000,58576,2,EA,1,100,0.030713
1701221193.920224,2351176.000,58592,1,EA,1,100,0.030710
1701221193.986711,2351242.500,58608,2,EA,1,100,0.030712
1701221194.053198,2351309.000,58608,2,EA,1,100,0.030718
1701221194.120184,2351376.000,58623,1,EA,1,100,0.030711
1701221194.186671,2351442.500,58641,2,EA,1,100,0.030717
1701221194.253158,2351509.000,58641,2,EA,1,100,0.030725
1701221194.320144,2351576.000,58657,1,EA,1,100,0.030717
1701221194.386631,2351642.500,58673,2,EA,1,100,0.030720
1701221194.453118,2351709.000,58673,2,EA,1,100,0.030723
1701221194.519604,2351775.500,58689,2,EA,1,100,0.030730
1701221194.586091,2351842.000,58689,2,EA,1,100,0.030743
1701221194.653078,2351909.000,58706,1,EA,1,100,0.030742
1701221194.719564,2351975.500,58724,2,EA,1,100,0.030724
1701221194.786051,2352042.000,58724,2,EA,1,100,0.030713
1701221194.853038,2352109.000,58742,1,EA,1,100,0.030718
1701221194.919524,2352175.500,58756,2,EA,1,100,0.030716
1701221194.986011,2352242.000,58756,2,EA,1,100,0.030725
1701221195.052998,2352309.000,58773,1,EA,1,100,0.030724
1701221195.119651,2352375.667,58796,3,EA,1,100,0.030721
1701221195.186305,2352442.333,58796,3,EA,1,100,0.030718
1701221195.252958,2352509.000,58796,3,EA,1,100,0.030715
1701221195.319445,2352575.500,58812,2,EA,1,100,0.030712
1701221195.385931,2352642.000,58812,2,EA,1,100,0.030732
1701221195.452918,2352709.000,58828,1,EA,1,100,0.030729
1701221195.519405,2352775.500,58845,2,EA,1,100,0.030721
1701221195.585891,2352842.000,58845,2,EA,1,100,0.030720
1701221195.652878,2352909.000,58862,1,EA,1,100,0.030719
1701221195.719365,2352975.500,58877,2,EA,1,100,0.030727
1701221195.785851,2353042.000,58877,2,EA,1,100,0.030723
1701221195.852838,2353109.000,58894,2,EA,1,100,0.030725
1701221195.919825,2353176.000,58894,2,EA,1,100,0.030720
1701221195.985811,2353242.000,58910,1,EA,1,100,0.030738
1701221196.052798,2353309.000,58927,2,EA,1,100,0.030736
1701221196.119785,2353376.000,58927,2,EA,1,100,0.030721
1701221196.185771,2353442.000,58944,1,EA,1,100,0.030727
1701221196.252758,2353509.000,58959,2,EA,1,100,0.030724
1701221196.319745,2353576.000,58959,2,EA,1,100,0.030734
1701221196.385732,2353642.000,58975,1,EA,1,100,0.030733
1701221196.452218,2353708.500,58993,2,EA,1,100,0.030727
1701221196.518705,2353775.000,58993,2,EA,1,100,0.030728
1701221196.585692,2353842.000,59009,1,EA,1,100,0.030742
1701221196.652678,2353909.000,59024,2,EA,1,100,0.030728
1701221196.719665,2353976.000,59024,2,EA,1,100,0.030726
1701221196.785652,2354042.000,59040,1,EA,1,100,0.030727
1701221196.852638,2354109.000,59058,2,EA,1,100,0.030724
1701221196.919625,2354176.000,59058,2,EA,1,100,0.030728
1701221196.985612,2354242.000,59074,1,EA,1,100,0.030733
1701221197.052099,2354308.500,59089,2,EA,1,100,0.030730
1701221197.118585,2354375.000,59089,2,EA,1,100,0.030737
1701221197.185572,2354442.000,59106,1,EA,1,100,0.030732
1701221197.252059,2354508.500,59123,2,EA,1,100,0.030726
1701221197.318545,2354575.000,59123,2,EA,1,100,0.030740
1701221197.385532,2354642.000,59139,1,EA,1,100,0.030732
1701221197.452018,2354708.500,59155,2,EA,1,100,0.030725
1701221197.518505,2354775.000,59155,2,EA,1,100,0.030734
1701221197.585492,2354842.000,59171,1,EA,1,100,0.030738
1701221197.651979,2354908.500,59188,2,EA,1,100,0.030731
1701221197.718465,2354975.000,59188,2,EA,1,100,0.030740
1701221197.785452,2355042.000,59204,1,EA,1,100,0.030732
1701221197.851939,2355108.500,59223,2,EA,1,100,0.030728
1701221197.918425,2355175.000,59223,2,EA,1,100,0.030734
1701221197.985412,2355242.000,59238,2,EA,1,100,0.030730
1701221198.052399,2355309.000,59238,2,EA,1,100,0.030731
1701221198.118386,2355375.000,59255,1,EA,1,100,0.030735
1701221198.185372,2355442.000,59272,2,EA,1,100,0.030736
1701221198.252359,2355509.000,59272,2,EA,1,100,0.030744
1701221198.318346,2355575.000,59289,1,EA,1,100,0.030736
1701221198.385332,2355642.000,59303,2,EA,1,100,0.030737
1701221198.452319,2355709.000,59303,2,EA,1,100,0.030737
1701221198.518306,2355775.000,59321,1,EA,1,100,0.030735
1701221198.585292,2355842.000,59337,2,EA,1,100,0.030737
1701221198.652279,2355909.000,59337,2,EA,1,100,0.030736
1701221198.718266,2355975.000,59354,1,EA,1,100,0.030737
1701221198.785252,2356042.000,59369,2,EA,1,100,0.030730
1701221198.852239,2356109.000,59369,2,EA,1,100,0.030739
1701221198.918226,2356175.000,59386,1,EA,1,100,0.030737
1701221198.985212,2356242.000,59402,2,EA,1,100,0.030731
1701221199.052199,2356309.000,59402,2,EA,1,100,0.030744
1701221199.118186,2356375.000,59419,1,EA,1,100,0.030734
1701221199.184672,2356441.500,59434,2,EA,1,100,0.030733
1701221199.251159,2356508.000,59434,2,EA,1,100,0.030744
1701221199.318146,2356575.000,59451,1,EA,1,100,0.030739
1701221199.384633,2356641.500,59467,2,EA,1,100,0.030739
1701221199.451119,2356708.000,59467,2,EA,1,100,0.030740
1701221199.518106,2356775.000,59485,1,EA,1,100,0.030740
1701221199.585093,2356842.000,59499,2,EA,1,100,0.030740
1701221199.652079,2356909.000,59499,2,EA,1,100,0.030747
1701221199.718066,2356975.000,59516,1,EA,1,100,0.030738
1701221199.784553,2357041.500,59535,2,EA,1,100,0.030737
1701221199.851039,2357108.000,59535,2,EA,1,100,0.030741
1701221199.918026,2357175.000,59552,1,EA,1,100,0.030739
1701221199.985013,2357242.000,59567,2,EA,1,100,0.030743
1701221200.051999,2357309.000,59567,2,EA,1,100,0.030739
1701221200.118486,2357375.500,59584,2,EA,1,100,0.030741
1701221200.184973,2357442.000,59584,2,EA,1,100,0.030740
1701221200.251959,2357509.000,59600,1,EA,1,100,0.030744
1701221200.318446,2357575.500,59620,2,EA,1,100,0.030743
1701221200.384933,2357642.000,59620,2,EA,1,100,0.030740
1701221200.451419,2357708.500,59637,2,EA,1,100,0.030735
1701221200.517906,2357775.000,59637,2,EA,1,100,0.030757
